Date,Time,Latitude,Longitude,Magnitude,Epicenter
2072-2-12,09:08,28.01,84.68,5,Gorkha
2072-2-11,16:45,27.71,86.07,4.1,Dolakha
2072-2-11,04:01,27.74,86.19,4.4,Dolakha
2072-2-11,12:51,27.67,86.18,4.2,Dolakha
2072-2-10,18:40,27.8,86.29,4.4,Dolakha
2072-2-10,17:31,27.84,86,4.2,Sindhupalchowk
2072-2-10,05:00,27.76,86.26,4.3,Dolakha
2072-2-10,16:23,27.76,86.28,4.4,Dolakha
2072-2-10,18:59,27.74,86.2,4.2,Dolakha
2072-2-9,04:11,27.9,85.51,4.4,Sindhupalchok
2072-2-9,02:29,27.69,86.16,4.1,Dolakha
2072-2-9,00:52,30.31,81.47,4.8,Humla
2072-2-9,00:34,27.78,85.93,4,Sindhupalchowk
2072-2-9,23:15,27.63,86.25,4.1,Dolakha
2072-2-9,22:29,28.05,85.08,4.8,Nuwakot
2072-2-9,20:30,27.79,85.14,4.2,Nuwakot
2072-2-8,01:15,28.02,84.98,4,Dhading
2072-2-8,20:41,27.93,85.46,4,Nuwakot
2072-2-8,19:56,27.85,86.32,4.2,Dolakha
2072-2-7,20:32,27.52,85.26,4.4,Lalitput
2072-2-6,16:55,27.84,86.33,4.2,Dolakha
2072-2-6,22:29,27.92,86.04,4.2,Sindhupalchowk
2072-2-6,10:19,27.66,86.03,4.3,Dolakha
2072-2-5,17:14,27.9,85.99,4,Sindhupalchowk
2072-2-5,14:56,27.71,86.07,4.2,Dolakha
2072-2-5,00:12,28.11,84.88,4.1,Dhading
2072-2-4,17:09,27.69,86.26,4,Dolakha
2072-2-4,02:25,27.84,86.24,4.4,Dolakha
2072-2-4,10:45,27.73,86.06,4.4,Dolakha
2072-2-3,17:15,27.48,85.87,4.6,Ramechhap
2072-2-3,15:20,27.45,85.31,4.2,Lalitpur
2072-2-3,15:09,27.7,85.85,4.2,Sindhupalchowk
2072-2-3,02:29,27.64,86.14,4.3,Dolakha
2072-2-3,12:16,28.13,84.89,4,Gorkha
2072-2-3,11:56,27.97,85.48,4,Nuwakot
2072-2-3,23:04,27.6,86.26,5.5,Dolakha
2072-2-3,10:23,27.66,86.09,4.1,Dolakha
2072-2-3,10:13,27.65,86.12,4.1,Dolakha
2072-2-3,08:00,28.07,84.7,4,Gorkha
2072-2-2,13:12,27.93,84.84,5.5,Dhading
2072-2-2,09:51,27.69,86.08,4.3,Dolakha
2072-2-2,09:23,27.63,86.25,4.1,Dolakha
2072-2-2,20:54,27.61,86.2,4.5,Dolakha
2072-2-1,04:43,27.74,86.17,4,Dolakha
2072-2-1,16:36,27.92,84.84,4,Dhading
2072-2-1,03:25,27.84,85.84,4,Sindhupalchowk
2072-2-1,14:51,27.83,86.15,4.5,Dolakha
2072-2-1,14:37,27.8,85.82,4,Sindupalchok
2072-2-1,02:35,27.71,86.04,4,Dolakha
2072-2-1,02:06,28.06,85.35,4.5,Rasuwa
2072-2-1,01:28,27.75,86.14,4,Dolakha
2072-2-1,09:08,27.67,86.08,5,Dolakha
2072-2-1,21:05,27.62,86.09,4.2,Dolakha
2072-2-1,08:58,27.66,86.07,4.1,Dolakha
2072-1-31,06:01,27.92,86.31,4.3,Dolakha
2072-1-31,03:21,27.7,86.15,4.1,Dolakha
2072-1-31,03:06,27.64,85.7,4,Kavrepalanchok
2072-1-31,14:13,27.75,86.25,4.4,Dolakha
2072-1-31,13:53,27.65,86.18,4.4,Dolakha
2072-1-31,22:29,27.63,86.17,4.5,Dolakha
2072-1-31,10:23,27.82,86.47,4.3,Dolakha
2072-1-31,09:27,27.85,85.92,4.2,Sindhupalchok
2072-1-31,21:22,27.85,86.29,4,Dolakha
2072-1-31,08:55,27.91,84.82,5.9,Dhading
2072-1-31,20:15,27.6,86.16,4.3,Dolakha
2072-1-31,07:52,27.68,85.3,4.2,Kathmandu
2072-1-30,18:23,27.68,86.17,5.1,Dolakha
2072-1-30,18:19,27.84,86.25,4.6,Dolakha
2072-1-30,18:07,27.79,86.07,4.8,Dolakha
2072-1-30,17:56,27.69,86.11,4.7,Sindhupalchok
2072-1-30,16:18,27.79,86.19,4.6,Dolakha
2072-1-30,02:58,27.97,86.45,4.8,Tibet
2072-1-30,02:29,28.03,86.36,4.1,Tibet
2072-1-30,01:27,27.84,86.23,4.4,Dolakha
2072-1-30,01:13,27.78,85.85,4.3,Sindhupalchok
2072-1-30,00:38,27.72,85.97,4,Dolakha
2072-1-30,00:32,27.89,85.88,4.4,Sindhupalchok
2072-1-30,23:58,27.7,86.04,4.7,Dolakha
2072-1-30,23:28,27.71,86,4.3,Dolakha
2072-1-30,22:51,27.72,86.2,4.6,Dolakha
2072-1-30,22:36,27.62,86.16,4.7,Dolakha
2072-1-30,22:11,27.76,86.24,4.4,Dolakha
2072-1-30,22:05,27.73,86.11,5,Dolakha
2072-1-30,22:01,27.69,86.05,4.2,Dolakha
2072-1-30,21:45,27.57,86.29,4.8,Ramechhap
2072-1-30,21:34,27.68,86.03,4.4,Dolakha
2072-1-30,21:14,27.8,85.95,4.2,Sindhupalchok
2072-1-30,20:59,27.7,86.01,4.2,Dolakha
2072-1-30,20:32,27.8,86.12,4.7,Dolakha
2072-1-30,20:29,27.76,86.31,5.3,Dolakha
2072-1-30,20:09,27.69,86.21,4.7,Dolakha
2072-1-30,20:05,27.68,86.23,4.7,Dolakha
2072-1-30,20:04,27.88,85.94,4.8,Sindhupalchok
2072-1-30,19:54,27.79,86.11,5,Dolakha
2072-1-30,07:53,28.16,84.9,4.1,Gorkha
2072-1-30,19:51,27.66,86.17,5.2,Dolakha
2072-1-30,19:43,27.8,85.83,5.3,Sindhupalchok
2072-1-30,19:36,27.8,85.94,5.1,Sindhupalchok
2072-1-30,19:31,27.68,86.04,4.3,Dolakha
2072-1-30,19:18,27.63,86.17,4.8,Dolakha
2072-1-30,19:13,27.69,86.24,5,Dolakha
2072-1-30,19:06,27.73,86.21,6.2,Dolakha
2072-1-30,18:47,27.84,86.17,5.8,Dolakha
2072-1-29,18:35,27.82,86.12,6.8,Dolakha
2072-1-29,05:52,28.1,84.91,4,Dhading
2072-1-29,04:58,27.58,86.41,4.3,Ramechhap
2072-1-29,04:02,27.68,86.04,4.2,Dolakha
2072-1-29,02:20,27.99,85.86,4.2,Sindhupalchowk
2072-1-28,05:39,27.91,85.75,4,Sindhupalchowk
2072-1-28,12:19,27.88,86,4.4,Sindhupalchowk
2072-1-28,21:08,27.65,85.56,4.2,kavre
2072-1-28,08:29,26.94,86.67,4,Udayapur
2072-1-28,07:35,28.04,85.96,4.2,Tibet
2072-1-27,16:53,28.02,85.25,4,Rasuwa
2072-1-27,08:53,28.04,85.2,4.1,Rasuwa
2072-1-26,14:04,27.75,85.91,4.2,Sindhupalchowk
2072-1-26,12:02,27.69,86.04,5,Dolakha
2072-1-26,20:50,28.01,85.41,4.2,Nuwakot
2072-1-26,08:04,27.94,85.58,4,Sindhupalchowk
2072-1-26,19:17,27.77,85.88,4.8,Sindhupalchowk
2072-1-25,13:41,27.79,85.16,4,Nuwakot
2072-1-25,09:26,27.75,85.19,4.2,Nuwakot
2072-1-24,04:00,27.92,85.46,4,Nuwakot
2072-1-24,23:47,28.01,84.68,4.2,Gorkha
2072-1-23,04:04,28.04,85.26,4,Rasuwa
2072-1-23,12:24,28.06,85.05,4,Dhading
2072-1-23,22:45,27.96,86,4.2,Sindhupalchowk
2072-1-23,22:08,27.74,86.03,4.3,Dolakha
2072-1-22,15:39,27.97,85.21,4.2,Nuwakot
2072-1-22,12:45,27.69,85.99,4.3,Dolakha
2072-1-22,23:47,27.74,86,4.2,Dolakha
2072-1-22,10:44,27.75,85.87,4.2,Sindhupalchowk
2072-1-22,21:25,27.95,85.86,4.4,Sindhupalchowk
2072-1-22,20:19,27.79,86.23,4.7,Dolakha
2072-1-22,19:02,28.12,84.8,4,Gorkha
2072-1-21,16:21,27.8,85.16,4.1,Nuwakot
2072-1-21,16:18,27.79,85.16,4,Nuwakot
2072-1-21,02:12,28.09,85.72,4.2,Sindhupalchowk
2072-1-21,13:45,27.98,84.87,4.1,Dhading
2072-1-21,00:43,27.89,85.73,4,Sindhupalchowk
2072-1-21,11:32,28.08,85.04,4,Gorkha
2072-1-21,23:05,27.8,85.11,4.9,Nuwakot
2072-1-21,09:14,27.69,85.93,4.5,Sindhupalchowk
2072-1-20,16:31,27.94,84.83,4.5,Dhading
2072-1-20,04:24,28.05,84.94,4,Dhading
2072-1-20,15:17,27.93,85.5,4.2,Sindhupalchowk
2072-1-20,02:46,27.66,86.01,4.1,Dolakha
2072-1-20,11:40,27.74,86.28,4.3,Dolakha
2072-1-20,09:40,27.95,85.73,4.2,Sindhupalchowk
2072-1-19,17:05,28.24,84.76,5.1,Gorkha
2072-1-19,16:58,27.72,85.74,4,Sindhupalchowk
2072-1-19,02:12,27.88,85.87,4.2,Sindhupalchowk
2072-1-19,23:22,27.74,85.99,4,Dolakha
2072-1-19,08:41,27.68,85.3,4,Kathmandu
2072-1-18,06:43,27.7,85.98,4.2,Dolakha
2072-1-18,05:44,28.04,85.32,4,Rasuwa
2072-1-18,17:13,28.04,85.33,4.5,Rasuwa
2072-1-18,16:20,27.75,85.95,4,Sindhupalchowk
2072-1-18,14:16,28.05,85.34,4.7,Rasuwa
2072-1-18,12:07,27.93,84.83,4.7,Dhading
2072-1-18,19:14,27.65,86.09,4.1,Dolakha
2072-1-17,05:04,27.92,85.87,4.3,Sindhupalchowk
2072-1-17,11:39,27.79,85.14,4.2,Nuwakot
2072-1-17,22:57,27.95,85.52,4.5,Sindhupalchowk
2072-1-17,10:34,27.93,85.63,4,Sindhupalchowk
2072-1-17,21:09,27.86,84.89,4.5,Dhading
2072-1-17,19:02,28.04,85.37,4,Nuwakot
2072-1-16,04:46,28.19,84.8,4.4,Gorkha
2072-1-16,14:25,27.76,85.8,4,Sindhupalchowk
2072-1-16,13:30,27.81,86.09,4.2,Dolakha
2072-1-16,10:50,28.1,85.49,4.9,Sindhupalchok
2072-1-16,22:48,27.88,85.88,4.2,Sindhupalchowk
